"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17971","Parameterized Navigate to Find New Cars page","chromium","2025-12-10","passed","2025-12-10","Find New Car Page Tests","findnewcar-test.spec.ts","",""
"","5417","Get Car Name and Prices","webkit","2025-12-10","failed","2025-12-10","Find New Car Page Tests","findnewcar-test.spec.ts","",""
"","2588","Navigate to Find New Cars page","chromium","2025-12-08","passed","2025-12-08","Find New Car Page Tests","findnewcar-test.spec.ts","",""
"","1914","has title","chromium","2025-12-04","passed","2025-12-04","","example.spec.ts","",""
"","5553","Get Car Name and Prices","chromium","2025-12-10","failed","2025-12-10","Find New Car Page Tests","findnewcar-test.spec.ts","",""
"","7079","Get Car Name and Prices","firefox","2025-12-10","passed","2025-12-10","Find New Car Page Tests","findnewcar-test.spec.ts","",""
"","2544","Navigate to Bmw New Cars page","chromium","2025-12-08","passed","2025-12-08","Find New Car Page Tests","findnewcar-test.spec.ts","",""
"","1235","get started link","chromium","2025-12-04","passed","2025-12-04","","example.spec.ts","",""
